Ticker,Statement,Source_File,Source_Sheet,Account_ID,Original_Excel_Row,Account_Name,Account_Name_Normalized,Period_Label,Calendar_Year,Calendar_Quarter,Quarter_End_Date,Effective_Date,Value
CTD,Balance Sheet,CTD_financials.xlsx,0,BS_001,9,TOTAL ASSETS,total assets,Q1 2010,2010,1,2010-03-31,2010-05-15,1605903371758.0
CTD,Balance Sheet,CTD_financials.xlsx,0,BS_002,10,CURRENT ASSETS,current assets,Q1 2010,2010,1,2010-03-31,2010-05-15,906434736932.0
CTD,Balance Sheet,CTD_financials.xlsx,0,BS_003,11,Cash and cash equivalents,cash and cash equivalents,Q1 2010,2010,1,2010-03-31,2010-05-15,111537524407.0
CTD,Balance Sheet,CTD_financials.xlsx,0,BS_004,12,Cash,cash,Q1 2010,2010,1,2010-03-31,2010-05-15,111537524407.0
CTD,Balance Sheet,CTD_financials.xlsx,0,BS_005,13,Cash equivalents,cash equivalents,Q1 2010,2010,1,2010-03-31,2010-05-15,0.0
CTD,Balance Sheet,CTD_financials.xlsx,0,BS_006,14,Short-term investments,short term investments,Q1 2010,2010,1,2010-03-31,2010-05-15,5223166300.0
CTD,Balance Sheet,CTD_financials.xlsx,0,BS_007,15,Short-term investments,short term investments,Q1 2010,2010,1,2010-03-31,2010-05-15,7616192450.0
CTD,Balance Sheet,CTD_financials.xlsx,0,BS_008,16,Provision for diminution,provision for diminution,Q1 2010,2010,1,2010-03-31,2010-05-15,-2393026150.0
CTD,Balance Sheet,CTD_financials.xlsx,0,BS_009,17,Held-to-maturity securities,held to maturity securities,Q1 2010,2010,1,2010-03-31,2010-05-15,0.0
CTD,Balance Sheet,CTD_financials.xlsx,0,BS_010,18,Accounts receivable,accounts receivable,Q1 2010,2010,1,2010-03-31,2010-05-15,433618315690.0
CTD,Balance Sheet,CTD_financials.xlsx,0,BS_011,19,Trade accounts receivable,trade accounts receivable,Q1 2010,2010,1,2010-03-31,2010-05-15,346251267967.0
CTD,Balance Sheet,CTD_financials.xlsx,0,BS_012,20,Prepayments to suppliers,prepayments to suppliers,Q1 2010,2010,1,2010-03-31,2010-05-15,72900979642.0
CTD,Balance Sheet,CTD_financials.xlsx,0,BS_013,21,Intercompany receivables,intercompany receivables,Q1 2010,2010,1,2010-03-31,2010-05-15,0.0
CTD,Balance Sheet,CTD_financials.xlsx,0,BS_014,22,Construction contract in progress receivables,construction contract in progress receivables,Q1 2010,2010,1,2010-03-31,2010-05-15,0.0
CTD,Balance Sheet,CTD_financials.xlsx,0,BS_015,23,Short-term loans receivables,short term loans receivables,Q1 2010,2010,1,2010-03-31,2010-05-15,0.0
CTD,Balance Sheet,CTD_financials.xlsx,0,BS_016,24,Other receivables,other receivables,Q1 2010,2010,1,2010-03-31,2010-05-15,14466068081.0
CTD,Balance Sheet,CTD_financials.xlsx,0,BS_017,25,Provision for doubtful debts,provision for doubtful debts,Q1 2010,2010,1,2010-03-31,2010-05-15,0.0
CTD,Balance Sheet,CTD_financials.xlsx,0,BS_018,26,Shortage of current assets waiting for solution,shortage of current assets waiting for solution,Q1 2010,2010,1,2010-03-31,2010-05-15,0.0
CTD,Balance Sheet,CTD_financials.xlsx,0,BS_019,27,Inventories,inventories,Q1 2010,2010,1,2010-03-31,2010-05-15,286274116499.0
CTD,Balance Sheet,CTD_financials.xlsx,0,BS_020,28,Inventories,inventories,Q1 2010,2010,1,2010-03-31,2010-05-15,286274116499.0
CTD,Balance Sheet,CTD_financials.xlsx,0,BS_021,29,Provision for decline in inventories,provision for decline in inventories,Q1 2010,2010,1,2010-03-31,2010-05-15,0.0
CTD,Balance Sheet,CTD_financials.xlsx,0,BS_022,30,Other current assets,other current assets,Q1 2010,2010,1,2010-03-31,2010-05-15,69781614036.0
CTD,Balance Sheet,CTD_financials.xlsx,0,BS_023,31,Short-term prepaid expenses,short term prepaid expenses,Q1 2010,2010,1,2010-03-31,2010-05-15,305600000.0
CTD,Balance Sheet,CTD_financials.xlsx,0,BS_024,32,VAT to be claimed,vat to be claimed,Q1 2010,2010,1,2010-03-31,2010-05-15,1353057504.0
CTD,Balance Sheet,CTD_financials.xlsx,0,BS_025,33,Other taxes receivable,other taxes receivable,Q1 2010,2010,1,2010-03-31,2010-05-15,0.0
