Ticker,Period_Label,Calendar_Year,Calendar_Quarter,Quarter_End_Date,Effective_Date,Book_Equity_Total,Non_Controlling_Interest,Book_Equity_Parent,Total_Assets,Total_Sources,Balance_Difference,Balance_Difference_Pct,Book_Equity_Total_Account,NCI_Accounts_Found,Total_Assets_Account,Total_Sources_Account
CTD,Q1 2010,2010,1,2010-03-31,2010-05-15,1152325124515.0,0.0,1152325124515.0,1605903371758.0,1605903371758.0,0.0,0.0,OWNER'S EQUITY,Minority interests; Minority Interest,TOTAL ASSETS,TOTAL RESOURCES
CTD,Q2 2010,2010,2,2010-06-30,2010-08-14,1169289005106.0,0.0,1169289005106.0,1714755896136.0,1714755896136.0,0.0,0.0,OWNER'S EQUITY,Minority interests; Minority Interest,TOTAL ASSETS,TOTAL RESOURCES
CTD,Q3 2010,2010,3,2010-09-30,2010-11-14,1217648601314.0,0.0,1217648601314.0,1873927983075.0,1873927983075.0,0.0,0.0,OWNER'S EQUITY,Minority interests; Minority Interest,TOTAL ASSETS,TOTAL RESOURCES
CTD,Q4 2010,2010,4,2010-12-31,2011-03-31,1244718240117.0,0.0,1244718240117.0,2020721751800.0,2020721751800.0,0.0,0.0,OWNER'S EQUITY,Minority interests; Minority Interest,TOTAL ASSETS,TOTAL RESOURCES
CTD,Q1 2011,2011,1,2011-03-31,2011-05-15,1314166053751.0,0.0,1314166053751.0,1916808615009.0,1916808615009.0,0.0,0.0,OWNER'S EQUITY,Minority interests; Minority Interest,TOTAL ASSETS,TOTAL RESOURCES
CTD,Q2 2011,2011,2,2011-06-30,2011-08-14,1316137794353.0,0.0,1316137794353.0,2211301595966.0,2211301595966.0,0.0,0.0,OWNER'S EQUITY,Minority interests; Minority Interest,TOTAL ASSETS,TOTAL RESOURCES
CTD,Q3 2011,2011,3,2011-09-30,2011-11-14,1380592194428.0,0.0,1380592194428.0,2330723412549.0,2330723412549.0,0.0,0.0,OWNER'S EQUITY,Minority interests; Minority Interest,TOTAL ASSETS,TOTAL RESOURCES
CTD,Q4 2011,2011,4,2011-12-31,2012-03-30,1437899588451.0,0.0,1437899588451.0,2460102973544.0,2460102973544.0,0.0,0.0,OWNER'S EQUITY,Minority interests; Minority Interest,TOTAL ASSETS,TOTAL RESOURCES
CTD,Q1 2012,2012,1,2012-03-31,2012-05-15,1486234470577.0,0.0,1486234470577.0,2985514553431.0,2985514553431.0,0.0,0.0,OWNER'S EQUITY,Minority interests; Minority Interest,TOTAL ASSETS,TOTAL RESOURCES
CTD,Q2 2012,2012,2,2012-06-30,2012-08-14,1962043568875.0,0.0,1962043568875.0,3117294272473.0,3117294272473.0,0.0,0.0,OWNER'S EQUITY,Minority interests; Minority Interest,TOTAL ASSETS,TOTAL RESOURCES
CTD,Q3 2012,2012,3,2012-09-30,2012-11-14,2012610143256.0,0.0,2012610143256.0,3370741927969.0,3370741927969.0,0.0,0.0,OWNER'S EQUITY,Minority interests; Minority Interest,TOTAL ASSETS,TOTAL RESOURCES
