Date,Symbol,Open,High,Low,Close,Volume,MarketCap,MarketCap_TyDong,Vendor
2010-01-21,CTD,116.0,116.0,113.0,22.30574138333733,212560,12747847080000.0,12747.84708,sstock
2010-01-22,CTD,112.0,114.0,112.0,22.30574138333733,19190,12747847080000.0,12747.84708,sstock
2010-01-25,CTD,110.0,113.0,109.0,21.327419392840078,33450,12188730980000.0,12188.73098,sstock
2010-01-26,CTD,112.0,114.0,112.0,22.30574138333733,67000,12747847080000.0,12747.84708,sstock
2010-01-27,CTD,114.0,114.0,109.0,21.327419392840078,28850,12188730980000.0,12188.73098,sstock
2010-01-28,CTD,109.0,109.0,104.0,20.349097402342828,30680,11629614880000.0,11629.61488,sstock
2010-01-29,CTD,103.0,109.0,103.0,21.327419392840078,105920,12188730980000.0,12188.73098,sstock
2010-02-01,CTD,113.0,114.0,112.0,22.30574138333733,110270,12747847080000.0,12747.84708,sstock
2010-02-02,CTD,114.0,117.0,114.0,22.89273457763568,77170,13083316740000.0,13083.31674,sstock
2010-02-03,CTD,117.0,117.0,115.0,22.89273457763568,26300,13083316740000.0,13083.31674,sstock
2010-02-04,CTD,117.0,117.0,116.0,22.89273457763568,58630,13083316740000.0,13083.31674,sstock
2010-02-05,CTD,116.0,117.0,114.0,22.30574138333733,82160,12747847080000.0,12747.84708,sstock
2010-02-08,CTD,113.0,115.0,113.0,22.11007698523788,39450,12636023860000.0,12636.02386,sstock
2010-02-09,CTD,113.0,114.0,111.0,22.11007698523788,51680,12636023860000.0,12636.02386,sstock
2010-02-10,CTD,114.0,116.0,108.0,22.69707017953623,69350,12971493520000.0,12971.49352,sstock
2010-02-11,CTD,116.0,116.0,116.0,22.69707017953623,27900,12971493520000.0,12971.49352,sstock
2010-02-12,CTD,115.0,117.0,115.0,22.89273457763568,22770,13083316740000.0,13083.31674,sstock
2010-02-22,CTD,119.0,119.0,116.0,22.89273457763568,92840,13083316740000.0,13083.31674,sstock
2010-02-23,CTD,115.0,115.0,114.0,22.30574138333733,32960,12747847080000.0,12747.84708,sstock
2010-02-24,CTD,114.0,119.0,114.0,23.08839897573513,206860,13195139960000.0,13195.13996,sstock
2010-02-25,CTD,121.0,123.0,119.0,24.06672096623238,272450,13754256060000.0,13754.25606,sstock
2010-02-26,CTD,125.0,129.0,125.0,25.240707354829084,308040,14425195380000.0,14425.19538,sstock
2010-03-01,CTD,131.0,132.0,129.0,25.240707354829084,112400,14425195380000.0,14425.19538,sstock
2010-03-02,CTD,129.0,130.0,128.0,25.045042956729635,88550,14313372160000.0,14313.37216,sstock
2010-03-03,CTD,129.0,131.0,128.0,25.436371752928533,141170,14537018600000.0,14537.0186,sstock
2010-03-04,CTD,131.0,131.0,128.0,25.436371752928533,116590,14537018600000.0,14537.0186,sstock
2010-03-05,CTD,130.0,132.0,130.0,25.827700549127435,109850,14760665040000.0,14760.66504,sstock
2010-03-08,CTD,131.0,132.0,129.0,25.240707354829084,91250,14425195380000.0,14425.19538,sstock
2010-03-09,CTD,131.0,131.0,130.0,25.436371752928533,25410,14537018600000.0,14537.0186,sstock
2010-03-10,CTD,131.0,131.0,130.0,25.436371752928533,36990,14537018600000.0,14537.0186,sstock
2010-03-11,CTD,130.0,131.0,130.0,25.436371752928533,32350,14537018600000.0,14537.0186,sstock
2010-03-12,CTD,130.0,134.0,130.0,26.023364947226884,98600,14872488260000.0,14872.48826,sstock
2010-03-15,CTD,134.0,135.0,133.0,26.023364947226884,73330,14872488260000.0,14872.48826,sstock
2010-03-16,CTD,132.0,132.0,129.0,25.632036151027982,27360,14648841820000.0,14648.84182,sstock
2010-03-17,CTD,132.0,132.0,129.0,25.240707354829084,49390,14425195380000.0,14425.19538,sstock
2010-03-18,CTD,126.0,131.0,126.0,25.632036151027982,23950,14648841820000.0,14648.84182,sstock
2010-03-19,CTD,131.0,131.0,129.0,25.240707354829084,24750,14425195380000.0,14425.19538,sstock
2010-03-22,CTD,129.0,131.0,129.0,25.436371752928533,40470,14537018600000.0,14537.0186,sstock
2010-03-23,CTD,130.0,130.0,129.0,25.240707354829084,62820,14425195380000.0,14425.19538,sstock
2010-03-24,CTD,130.0,131.0,129.0,25.632036151027982,33630,14648841820000.0,14648.84182,sstock
2010-03-25,CTD,129.0,130.0,128.0,25.240707354829084,88700,14425195380000.0,14425.19538,sstock
2010-03-26,CTD,130.0,131.0,130.0,25.632036151027982,56070,14648841820000.0,14648.84182,sstock
2010-03-29,CTD,130.0,130.0,130.0,25.436371752928533,57010,14537018600000.0,14537.0186,sstock
2010-03-30,CTD,128.0,129.0,128.0,25.240707354829084,17990,14425195380000.0,14425.19538,sstock
2010-03-31,CTD,129.0,134.0,129.0,25.632036151027982,64210,14648841820000.0,14648.84182,sstock
2010-04-01,CTD,131.0,132.0,130.0,25.827700549127435,36590,14760665040000.0,14760.66504,sstock
2010-04-02,CTD,133.0,133.0,132.0,25.827700549127435,13970,14760665040000.0,14760.66504,sstock
2010-04-05,CTD,132.0,132.0,131.0,25.632036151027982,43160,14648841820000.0,14648.84182,sstock
2010-04-06,CTD,131.0,132.0,131.0,25.632036151027982,40360,14648841820000.0,14648.84182,sstock
2010-04-07,CTD,131.0,132.0,131.0,25.632036151027982,30820,14648841820000.0,14648.84182,sstock
2010-04-08,CTD,132.0,136.0,132.0,26.219029345326334,74500,14984311480000.0,14984.31148,sstock
2010-04-09,CTD,135.0,140.0,135.0,27.393015733923036,154550,15655250800000.0,15655.2508,sstock
2010-04-12,CTD,144.0,144.0,144.0,28.175673326320837,95000,16102543680000.0,16102.54368,sstock
2010-04-13,CTD,144.0,146.0,142.0,27.980008928221388,84300,15990720460000.0,15990.72046,sstock
2010-04-14,CTD,145.0,149.0,143.0,28.762666520619188,122700,16438013340000.0,16438.01334,sstock
2010-04-15,CTD,147.0,150.0,147.0,29.34965971491754,122960,16773483000000.0,16773.483,sstock
2010-04-16,CTD,149.0,149.0,144.0,28.56700212251974,78140,16326190120000.0,16326.19012,sstock
